Battery,Car_name,Car_name_link,Efficiency,Fast_charge,Price.DE.,Range,Top_speed,acceleration..0.100.
48.4,Hyundai Kona,https://ev-d,167,280.0,41990.0,290,160,7.8
77.0,Audi Q4 e-tr,https://ev-d,195,590.0,59000.0,395,180,5.4
93.1,XPENG G9 AWD,https://ev-d,196,990.0,0.0,475,200,3.9
76.6,Audi Q4 Spor,https://ev-d,180,660.0,0.0,425,160,8.5
90.0,NIO ET7 100 ,https://ev-d,178,530.0,90900.0,505,200,3.8
66.5,Mercedes EQA,https://ev-d,190,500.0,0.0,350,160,7.7
77.0,Audi Q4 Spor,https://ev-d,177,650.0,54950.0,435,180,6.7
90.6,Mercedes EQE,https://ev-d,208,650.0,0.0,435,210,4.9
64.0,Kia e-Soul 6,https://ev-d,173,350.0,46950.0,370,167,7.9
101.7,BMW i7 eDriv,https://ev-d,196,780.0,115700.0,520,205,5.5
106.0,Audi SQ8 e-t,https://ev-d,233,570.0,95800.0,455,210,4.5
83.7,Porsche Tayc,https://ev-d,186,1110.0,139906.0,450,250,3.7
82.7,XPENG P7 RWD,https://ev-d,167,690.0,0.0,495,200,6.7
83.7,Porsche Tayc,https://ev-d,173,1190.0,98863.0,485,230,5.4
101.7,BMW i7 M70 x,https://ev-d,208,730.0,181800.0,490,250,3.7
50.8,Opel Astra S,https://ev-d,169,480.0,43490.0,300,170,9.3
66.0,Volvo C40 Re,https://ev-d,186,430.0,47500.0,355,180,7.3
92.0,Lucid Air Pu,https://ev-d,156,990.0,109000.0,590,200,4.2
77.0,Volkswagen I,https://ev-d,179,640.0,56455.0,430,180,5.5
83.0,Maserati Gra,https://ev-d,195,990.0,0.0,425,320,2.7
64.7,Mini Country,https://ev-d,170,550.0,0.0,380,170,8.6
21.3,Fiat 500e Ha,https://ev-d,158,230.0,30990.0,135,135,9.0
46.3,Opel Corsa E,https://ev-d,157,470.0,34650.0,295,150,8.7
107.0,Polestar 3 L,https://ev-d,228,610.0,95200.0,470,210,4.7
46.3,Citroen e-Be,https://ev-d,226,330.0,37790.0,205,135,11.7
90.0,Mercedes eVi,https://ev-d,290,310.0,64248.0,310,160,12.0
87.0,Nissan Ariya,https://ev-d,215,480.0,61990.0,405,200,5.7
90.0,NIO EL6 100 ,https://ev-d,205,460.0,74500.0,440,200,4.5
50.8,Citroen e-C4,https://ev-d,154,470.0,41540.0,330,150,10.0
50.8,DS 3 E-Tense,https://ev-d,169,480.0,40540.0,300,150,9.0
108.4,Mercedes EQS,https://ev-d,178,910.0,113359.0,610,210,5.6
51.0,Seres 3,https://ev-d,196,240.0,0.0,260,155,8.9
46.0,MG MG5 Elect,https://ev-d,174,320.0,35490.0,265,185,7.7
96.0,Mercedes EQE,https://ev-d,202,660.0,86811.0,475,210,6.9
89.0,Mercedes EQE,https://ev-d,176,640.0,74149.0,505,210,6.3
83.7,Porsche Tayc,https://ev-d,195,1060.0,197740.0,430,260,2.8
46.3,Peugeot e-Ri,https://ev-d,232,320.0,42440.0,200,135,11.7
90.0,NIO EL7 100 ,https://ev-d,209,450.0,94900.0,430,200,3.9
91.0,Ford Mustang,https://ev-d,214,380.0,77300.0,425,200,3.7
64.7,Mini Country,https://ev-d,175,530.0,0.0,370,180,5.6
64.0,Zeekr X Long,https://ev-d,178,540.0,45970.0,360,180,5.6
95.0,Maserati Gre,https://ev-d,235,440.0,0.0,405,220,4.1
94.0,Zeekr 001 Pr,https://ev-d,188,700.0,68970.0,500,200,3.8
